id	name	valenceClass	arousalClass
0	ACCEDE00000	0	-1
1	ACCEDE00001	1	0
2	ACCEDE00002	0	-1
3	ACCEDE00003	0	-1
4	ACCEDE00004	0	-1
5	ACCEDE00005	-1	-1
6	ACCEDE00006	1	0
7	ACCEDE00007	1	-1
8	ACCEDE00008	1	-1
9	ACCEDE00009	0	-1
10	ACCEDE00010	0	-1
11	ACCEDE00011	0	-1
12	ACCEDE00012	0	-1
13	ACCEDE00013	0	1
14	ACCEDE00014	1	1
15	ACCEDE00015	-1	-1
16	ACCEDE00016	0	-1
17	ACCEDE00017	0	-1
18	ACCEDE00018	1	-1
19	ACCEDE00019	1	-1
20	ACCEDE00020	0	-1
21	ACCEDE00021	0	-1
22	ACCEDE00022	0	1
23	ACCEDE00023	0	-1
24	ACCEDE00024	0	-1
25	ACCEDE00025	-1	1
26	ACCEDE00026	-1	1
27	ACCEDE00027	0	-1
28	ACCEDE00028	0	-1
29	ACCEDE00029	0	-1
30	ACCEDE00030	-1	-1
31	ACCEDE00031	-1	-1
32	ACCEDE00032	0	-1
33	ACCEDE00033	0	-1
34	ACCEDE00034	0	-1
35	ACCEDE00035	-1	-1
36	ACCEDE00036	-1	-1
37	ACCEDE00037	0	1
38	ACCEDE00038	-1	-1
39	ACCEDE00039	1	-1
40	ACCEDE00040	-1	-1
41	ACCEDE00041	-1	1
42	ACCEDE00042	-1	0
43	ACCEDE00043	-1	-1
44	ACCEDE00044	-1	-1
45	ACCEDE00045	-1	-1
46	ACCEDE00046	-1	-1
47	ACCEDE00047	0	-1
48	ACCEDE00048	1	-1
49	ACCEDE00049	0	-1
50	ACCEDE00050	0	1
51	ACCEDE00051	1	-1
52	ACCEDE00052	-1	1
53	ACCEDE00053	-1	1
54	ACCEDE00054	1	0
55	ACCEDE00055	-1	1
56	ACCEDE00056	0	-1
57	ACCEDE00057	0	-1
58	ACCEDE00058	0	1
59	ACCEDE00059	-1	1
60	ACCEDE00060	1	0
61	ACCEDE00061	-1	1
62	ACCEDE00062	-1	1
63	ACCEDE00063	0	0
64	ACCEDE00064	-1	-1
65	ACCEDE00065	1	0
66	ACCEDE00066	1	-1
67	ACCEDE00067	1	-1
68	ACCEDE00068	1	-1
69	ACCEDE00069	0	0
70	ACCEDE00070	0	-1
71	ACCEDE00071	1	-1
72	ACCEDE00072	0	-1
73	ACCEDE00073	0	-1
74	ACCEDE00074	-1	-1
75	ACCEDE00075	-1	-1
76	ACCEDE00076	-1	-1
77	ACCEDE00077	0	-1
78	ACCEDE00078	0	-1
79	ACCEDE00079	0	-1
80	ACCEDE00080	1	0
81	ACCEDE00081	1	-1
82	ACCEDE00082	0	-1
83	ACCEDE00083	1	-1
84	ACCEDE00084	0	-1
85	ACCEDE00085	1	-1
86	ACCEDE00086	-1	1
87	ACCEDE00087	-1	0
88	ACCEDE00088	-1	-1
89	ACCEDE00089	-1	-1
90	ACCEDE00090	1	-1
91	ACCEDE00091	0	-1
92	ACCEDE00092	0	-1
93	ACCEDE00093	0	1
94	ACCEDE00094	1	-1
95	ACCEDE00095	1	-1
96	ACCEDE00096	-1	-1
97	ACCEDE00097	-1	1
98	ACCEDE00098	-1	-1
99	ACCEDE00099	0	-1
100	ACCEDE00100	1	-1
101	ACCEDE00101	1	-1
102	ACCEDE00102	-1	-1
103	ACCEDE00103	-1	0
104	ACCEDE00104	-1	-1
105	ACCEDE00105	-1	1
106	ACCEDE00106	1	0
107	ACCEDE00107	1	1
108	ACCEDE00108	0	-1
109	ACCEDE00109	-1	0
110	ACCEDE00110	-1	1
111	ACCEDE00111	1	-1
112	ACCEDE00112	-1	1
113	ACCEDE00113	-1	1
114	ACCEDE00114	0	0
115	ACCEDE00115	-1	1
116	ACCEDE00116	-1	-1
117	ACCEDE00117	0	1
118	ACCEDE00118	1	1
119	ACCEDE00119	-1	-1
120	ACCEDE00120	-1	-1
121	ACCEDE00121	1	-1
122	ACCEDE00122	-1	-1
123	ACCEDE00123	0	-1
124	ACCEDE00124	-1	-1
125	ACCEDE00125	-1	1
126	ACCEDE00126	-1	0
127	ACCEDE00127	1	0
128	ACCEDE00128	1	-1
129	ACCEDE00129	1	-1
130	ACCEDE00130	-1	0
131	ACCEDE00131	-1	1
132	ACCEDE00132	-1	-1
133	ACCEDE00133	-1	1
134	ACCEDE00134	1	-1
135	ACCEDE00135	0	-1
136	ACCEDE00136	1	-1
137	ACCEDE00137	1	1
138	ACCEDE00138	1	-1
139	ACCEDE00139	1	0
140	ACCEDE00140	1	1
141	ACCEDE00141	0	-1
142	ACCEDE00142	1	-1
143	ACCEDE00143	0	0
144	ACCEDE00144	0	-1
145	ACCEDE00145	-1	-1
146	ACCEDE00146	0	-1
147	ACCEDE00147	0	-1
148	ACCEDE00148	0	0
149	ACCEDE00149	0	-1
150	ACCEDE00150	-1	1
