id	name	valenceClass	arousalClass
0	MEDIAEVAL00000	0	-1
1	MEDIAEVAL00001	1	-1
2	MEDIAEVAL00002	-1	0
3	MEDIAEVAL00003	-1	-1
4	MEDIAEVAL00004	0	0
5	MEDIAEVAL00005	-1	0
6	MEDIAEVAL00006	0	0
7	MEDIAEVAL00007	-1	-1
8	MEDIAEVAL00008	-1	0
9	MEDIAEVAL00009	0	-1
10	MEDIAEVAL00010	0	0
11	MEDIAEVAL00011	-1	0
12	MEDIAEVAL00012	0	-1
13	MEDIAEVAL00013	1	-1
14	MEDIAEVAL00014	1	-1
15	MEDIAEVAL00015	0	0
16	MEDIAEVAL00016	-1	1
17	MEDIAEVAL00017	-1	0
18	MEDIAEVAL00018	0	-1
19	MEDIAEVAL00019	1	-1
20	MEDIAEVAL00020	0	-1
21	MEDIAEVAL00021	0	-1
22	MEDIAEVAL00022	0	-1
23	MEDIAEVAL00023	0	-1
24	MEDIAEVAL00024	0	-1
25	MEDIAEVAL00025	1	-1
26	MEDIAEVAL00026	0	-1
27	MEDIAEVAL00027	1	-1
28	MEDIAEVAL00028	0	-1
29	MEDIAEVAL00029	0	-1
30	MEDIAEVAL00030	0	-1
31	MEDIAEVAL00031	1	-1
32	MEDIAEVAL00032	0	0
33	MEDIAEVAL00033	1	-1
34	MEDIAEVAL00034	0	0
35	MEDIAEVAL00035	1	0
36	MEDIAEVAL00036	0	0
37	MEDIAEVAL00037	0	0
38	MEDIAEVAL00038	1	0
39	MEDIAEVAL00039	1	0
40	MEDIAEVAL00040	1	0
41	MEDIAEVAL00041	1	0
42	MEDIAEVAL00042	1	0
43	MEDIAEVAL00043	1	0
44	MEDIAEVAL00044	1	0
45	MEDIAEVAL00045	1	-1
46	MEDIAEVAL00046	1	0
47	MEDIAEVAL00047	0	0
48	MEDIAEVAL00048	-1	0
49	MEDIAEVAL00049	0	-1
50	MEDIAEVAL00050	-1	-1
51	MEDIAEVAL00051	-1	0
52	MEDIAEVAL00052	-1	0
53	MEDIAEVAL00053	0	-1
54	MEDIAEVAL00054	0	0
55	MEDIAEVAL00055	1	-1
56	MEDIAEVAL00056	0	0
57	MEDIAEVAL00057	0	-1
58	MEDIAEVAL00058	0	-1
59	MEDIAEVAL00059	1	-1
60	MEDIAEVAL00060	1	-1
61	MEDIAEVAL00061	1	-1
62	MEDIAEVAL00062	0	0
63	MEDIAEVAL00063	0	-1
64	MEDIAEVAL00064	-1	0
65	MEDIAEVAL00065	-1	1
66	MEDIAEVAL00066	0	-1
67	MEDIAEVAL00067	1	0
68	MEDIAEVAL00068	1	0
69	MEDIAEVAL00069	0	0
70	MEDIAEVAL00070	0	0
71	MEDIAEVAL00071	1	0
72	MEDIAEVAL00072	0	0
73	MEDIAEVAL00073	0	0
74	MEDIAEVAL00074	0	0
75	MEDIAEVAL00075	0	0
76	MEDIAEVAL00076	0	0
77	MEDIAEVAL00077	0	0
78	MEDIAEVAL00078	0	0
79	MEDIAEVAL00079	0	-1
80	MEDIAEVAL00080	0	0
81	MEDIAEVAL00081	-1	0
82	MEDIAEVAL00082	0	-1
83	MEDIAEVAL00083	0	0
84	MEDIAEVAL00084	0	-1
85	MEDIAEVAL00085	0	0
86	MEDIAEVAL00086	0	0
87	MEDIAEVAL00087	0	0
88	MEDIAEVAL00088	0	0
89	MEDIAEVAL00089	1	0
90	MEDIAEVAL00090	0	0
91	MEDIAEVAL00091	0	0
92	MEDIAEVAL00092	-1	1
93	MEDIAEVAL00093	-1	0
94	MEDIAEVAL00094	-1	0
95	MEDIAEVAL00095	1	0
96	MEDIAEVAL00096	0	0
97	MEDIAEVAL00097	0	0
98	MEDIAEVAL00098	0	0
99	MEDIAEVAL00099	-1	0
100	MEDIAEVAL00100	0	0
101	MEDIAEVAL00101	0	0
102	MEDIAEVAL00102	-1	0
103	MEDIAEVAL00103	0	0
104	MEDIAEVAL00104	1	0
105	MEDIAEVAL00105	0	0
106	MEDIAEVAL00106	0	0
107	MEDIAEVAL00107	0	0
108	MEDIAEVAL00108	1	-1
109	MEDIAEVAL00109	1	-1
110	MEDIAEVAL00110	1	-1
111	MEDIAEVAL00111	1	0
112	MEDIAEVAL00112	0	0
113	MEDIAEVAL00113	0	0
114	MEDIAEVAL00114	0	0
115	MEDIAEVAL00115	-1	0
116	MEDIAEVAL00116	-1	1
117	MEDIAEVAL00117	0	-1
118	MEDIAEVAL00118	1	0
119	MEDIAEVAL00119	0	0
120	MEDIAEVAL00120	-1	0
121	MEDIAEVAL00121	0	-1
122	MEDIAEVAL00122	0	0
123	MEDIAEVAL00123	-1	0
124	MEDIAEVAL00124	0	1
125	MEDIAEVAL00125	-1	0
126	MEDIAEVAL00126	-1	0
